Key,English,Filipino
PROPQUEST_REQUESTBOX_INC_020083,Very well! Their skulls contain a mysterious energy. We must study it. Bring back 325 $QUEST_END_ITEM_NAME$ from the Redcloud.,Sige! May taglay na misteryosong enerhiya ang kanilang mga bungo. Kailangan namin ang 325 $QUEST_END_ITEM_NAME$ mula sa Redcloud.
PROPQUEST_REQUESTBOX_INC_020084,Alright… but this magic could strengthen our defenses.,Ayos… pero ang mahika nilang ito ay maaaring magpalakas ng ating depensa.
PROPQUEST_REQUESTBOX_INC_020085,You don’t have enough energy-charged skulls yet. Keep going!,Wala ka pang sapat na mga bungo na may enerhiya. Ipagpatuloy mo!
PROPQUEST_REQUESTBOX_INC_020086,Excellent work! These skulls are a true source of power.,Napakahusay! Tunay na pinagkukunan ng kapangyarihan ang mga bungong ito.
PROPQUEST_REQUESTBOX_INC_020087,The Devil’s Teeth,Ang mga Ngipin ng Demonyo
PROPQUEST_REQUESTBOX_INC_020088,A strange corruption spreads through Kaillun as Devil Spirits multiply. Their teeth contain a demonic essence the sages wish to seal away.,Kumakalat ang kakaibang korapsyon sa Kaillun habang dumarami ang Devil Spirits. Nais ng mga pantas na i-seal ang demonic essence sa kanilang mga ngipin.
PROPQUEST_REQUESTBOX_INC_020089,Be brave! The Devil Spirits are growing in number. Their teeth must be sealed. Bring back 325 $QUEST_END_ITEM_NAME$ from the Devil Spirits.,Maging matapang! Dumarami ang Devil Spirits. Kailangang makuha ang kanilang mga ngipin. Magbalik ng 325 $QUEST_END_ITEM_NAME$ mula sa Devil Spirits.
PROPQUEST_REQUESTBOX_INC_020090,I understand… but their influence spreads further each night. Return carefully.,Naiintindihan ko… pero lumalawak ang impluwensya nila gabi-gabi. Bumalik ka nang maingat.
PROPQUEST_REQUESTBOX_INC_020091,Not enough teeth to contain the demonic energy yet. Keep gathering.,Hindi pa sapat ang mga ngipin para i-contain ang demonic energy. Ipagpatuloy ang pangangalap.
PROPQUEST_REQUESTBOX_INC_020092,Very good! These teeth will be purified and neutralized. You’ve done us a great service.,Napakahusay! Maipapahirap namin at maililinis ang mga ngipin na ito. Malaking utang na loob namin sa'yo.
PROPQUEST_REQUESTBOX_INC_020093,The Bloodstained Fangs of the Hellhound,Ang Bloodstained Fangs ng Hellhound
PROPQUEST_REQUESTBOX_INC_020094,"Hellhounds roam dangerously close to Kaillun, and their bloodied fangs leave lingering wounds. The Muran need them to forge weapons capable of driving these beasts back.","Nagmamadaling gumala ang mga Hellhound malapit sa Kaillun, at ang kanilang sugatang pangil ay nag-iiwan ng mga mapanganib na sugat. Kailangan ito ng mga Muran para makagawa ng sandata na magpapalayas sa mga halimaw na ito."
PROPQUEST_REQUESTBOX_INC_020095,Perfect! Their blood-soaked fangs are deadly. Bring back 325 $QUEST_END_ITEM_NAME$ from the Hellhounds to us for forging.,Perpekto! Nakamamatay ang mga pangil nilang puno ng dugo. Magdala ng 325 $QUEST_END_ITEM_NAME$ mula sa Hellhounds para sa pagpo-forge.
PROPQUEST_REQUESTBOX_INC_020096,Very well… but the Hellhounds still lurk around Kaillun.,Sige… pero naglalagi pa rin ang mga Hellhound sa paligid ng Kaillun.
PROPQUEST_REQUESTBOX_INC_020097,You don’t have enough. Their fangs are essential to forge weapons that can repel them.,Wala ka pang sapat. Mahalagang sangkap ang mga pangil nila para makagawa ng sandatang makakapuksa sa kanila.
PROPQUEST_REQUESTBOX_INC_020098,"Excellent work! Thanks to you, we can forge weapons worthy of the finest Muran warriors.","Napakahusay! Dahil sa'yo, makakapag-forge na kami ng mga sandata na karapat-dapat sa pinakamahusay na Muran warriors."
PROPQUEST_REQUESTBOX_INC_020099,$QUEST_END_NPC_NAME$ thanks you from the bottom of his heart! Glory to the Murans!,Taos‑pusong pasasalamat mula kay $QUEST_END_NPC_NAME$! Luwalhati sa mga Muran!
